iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,TGO,0,0,0,0,0,0,0,0,7858.3,7858.3,7805.2,7804.8
ABW,THA,0,0,0,0,0,0,0,0,16930.21,16930.21,16932.43,16930.5
ABW,TJK,0,0,0,0,0,0,0,0,12917.73,12917.73,12918.99,12918.61
ABW,TKL,0,0,1,0,0,0,0,0,11515.18,11515.18,11479.48,11479.27
ABW,TKM,0,0,0,0,0,0,0,0,12265.52,12265.52,12265.08,12260.79
ABW,TMP,0,0,0,0,0,0,0,0,18262.52,18262.52,18275.07,18274.89
ABW,TON,0,0,0,0,0,0,0,0,12067.62,12067.62,12052.03,12051.76
ABW,TTO,0,0,1,0,0,0,0,0,959.7569,959.7569,960.6143,960.3906
ABW,TUN,0,0,0,0,0,0,0,0,8328.585,8328.585,8334.208,8333.936
ABW,TUR,0,0,0,0,0,0,0,0,9845.79,10197.24,10126.42,10114.12
ABW,TUV,0,0,0,0,0,0,0,0,12456.92,12456.92,12533.82,12533.02
ABW,TWN,0,0,0,0,0,0,0,0,15659.13,15659.13,15771.77,15770.9
ABW,TZA,0,0,0,0,0,0,0,0,12282.36,11881.49,11986.52,11976.29
ABW,UGA,0,0,1,0,0,0,0,0,11386.03,11386.03,11347.06,11346.17
ABW,UKR,0,0,0,0,0,0,0,0,9678.449,9678.449,9909.713,9901.715
ABW,URY,0,1,0,0,0,0,0,0,5483.935,5483.935,5392.856,5389.013
ABW,USA,0,0,1,0,0,0,0,0,3161.668,3007.269,3859.885,3648.866
ABW,UZB,0,0,0,0,0,0,0,0,12732.29,12732.29,12713.79,12709.94
ABW,VCT,0,0,1,0,0,0,0,0,964.7043,964.7043,953.587,953.5273
ABW,VEN,0,1,0,0,0,0,0,0,408.8065,408.8065,437.7824,380.6062
ABW,VGB,0,0,1,0,0,0,0,0,881.2882,881.2882,879.4905,879.4416
ABW,VNM,0,0,0,0,0,0,0,0,16271.96,16271.96,17039.93,17024.94
ABW,VUT,0,0,1,0,0,0,0,0,13756.36,13756.36,13796.53,13796.35
ABW,WLF,0,0,0,0,0,0,0,0,12049.83,12049.83,12055.93,12055.93
ABW,WSM,0,0,1,0,0,0,0,0,13348.89,13348.89,11605.08,11605.03
ABW,YEM,0,0,0,0,0,0,0,0,12161.9,12161.9,12205.73,12204.19
ABW,YUG,0,0,0,0,0,0,0,0,9082.858,9082.858,9097.525,9097.134
ABW,ZAF,0,0,1,0,0,0,0,0,10662.36,11441.71,11325.09,11313.81
